2024-05-19 16:10:00,497 INFO Sent message: Hi! I'm Brook, a volunteer canvasser. What's your name?
2024-05-19 16:10:01,998 INFO User input: Tim
2024-05-19 16:10:03,994 INFO Sent message: Nice
2024-05-19 16:10:04,007 INFO Sent message: Nice to
2024-05-19 16:10:04,009 INFO Sent message: Nice to meet
2024-05-19 16:10:04,028 INFO Sent message: Nice to meet you
2024-05-19 16:10:04,030 INFO Sent message: Nice to meet you,
2024-05-19 16:10:04,046 INFO Sent message: Nice to meet you, Tim
2024-05-19 16:10:04,047 INFO Sent message: Nice to meet you, Tim!
2024-05-19 16:10:04,108 INFO Sent message: Nice to meet you, Tim! You
2024-05-19 16:10:04,110 INFO Sent message: Nice to meet you, Tim! You know
2024-05-19 16:10:04,113 INFO Sent message: Nice to meet you, Tim! You know,
2024-05-19 16:10:04,114 INFO Sent message: Nice to meet you, Tim! You know, I
2024-05-19 16:10:04,116 INFO Sent message: Nice to meet you, Tim! You know, I love
2024-05-19 16:10:04,161 INFO Sent message: Nice to meet you, Tim! You know, I love a
2024-05-19 16:10:04,162 INFO Sent message: Nice to meet you, Tim! You know, I love a good
2024-05-19 16:10:04,164 INFO Sent message: Nice to meet you, Tim! You know, I love a good story
2024-05-19 16:10:04,179 INFO Sent message: Nice to meet you, Tim! You know, I love a good story.
2024-05-19 16:10:04,181 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do
2024-05-19 16:10:04,182 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you
2024-05-19 16:10:04,184 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen
2024-05-19 16:10:04,185 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen to
2024-05-19 16:10:04,197 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen to have
2024-05-19 16:10:04,199 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen to have any
2024-05-19 16:10:04,228 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen to have any interesting
2024-05-19 16:10:04,230 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen to have any interesting tales
2024-05-19 16:10:04,248 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen to have any interesting tales about
2024-05-19 16:10:04,249 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen to have any interesting tales about tiny
2024-05-19 16:10:04,251 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen to have any interesting tales about tiny monkeys
2024-05-19 16:10:04,252 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen to have any interesting tales about tiny monkeys?
2024-05-19 16:10:04,256 INFO Sent message: Nice to meet you, Tim! You know, I love a good story. Do you happen to have any interesting tales about tiny monkeys?Nice to meet you, Tim! You know, I love a good story. Do you happen to have any interesting tales about tiny monkeys?
