2024-05-19 16:05:16,736 INFO Sent message: Hi! I'm Brook, a volunteer canvasser. What's your name?
2024-05-19 16:05:19,416 INFO User input: I'm Tim
2024-05-19 16:05:22,715 INFO Sent message: Nice
2024-05-19 16:05:22,727 INFO Sent message: Nice to
2024-05-19 16:05:22,728 INFO Sent message: Nice to meet
2024-05-19 16:05:22,748 INFO Sent message: Nice to meet you
2024-05-19 16:05:22,749 INFO Sent message: Nice to meet you,
2024-05-19 16:05:22,773 INFO Sent message: Nice to meet you, Tim
2024-05-19 16:05:22,774 INFO Sent message: Nice to meet you, Tim!
2024-05-19 16:05:22,798 INFO Sent message: Nice to meet you, Tim! So
2024-05-19 16:05:22,800 INFO Sent message: Nice to meet you, Tim! So,
2024-05-19 16:05:22,861 INFO Sent message: Nice to meet you, Tim! So, have
2024-05-19 16:05:22,863 INFO Sent message: Nice to meet you, Tim! So, have you
2024-05-19 16:05:22,917 INFO Sent message: Nice to meet you, Tim! So, have you ever
2024-05-19 16:05:22,919 INFO Sent message: Nice to meet you, Tim! So, have you ever heard
2024-05-19 16:05:22,946 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any
2024-05-19 16:05:22,947 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting
2024-05-19 16:05:22,969 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories
2024-05-19 16:05:22,971 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about
2024-05-19 16:05:22,990 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny
2024-05-19 16:05:22,991 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys
2024-05-19 16:05:23,015 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys?
2024-05-19 16:05:23,017 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd
2024-05-19 16:05:23,042 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd love
2024-05-19 16:05:23,043 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd love to
2024-05-19 16:05:23,065 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd love to hear
2024-05-19 16:05:23,066 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd love to hear one
2024-05-19 16:05:23,092 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd love to hear one if
2024-05-19 16:05:23,093 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd love to hear one if you
2024-05-19 16:05:23,104 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd love to hear one if you have
2024-05-19 16:05:23,105 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd love to hear one if you have!
2024-05-19 16:05:23,109 INFO Sent message: Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd love to hear one if you have!Nice to meet you, Tim! So, have you ever heard any interesting stories about tiny monkeys? I'd love to hear one if you have!
